circuit,run,n,T,seconds,status,note
DEFAULT,qsyn_pyzx,640,NA,1800,TLE,
DEFAULT,qsyn_raw,640,NA,1800,TLE,
adder_8,qsyn_pyzx,24,173,0,ok,
adder_8,qsyn_raw,24,172,0,ok,
barenco_tof_10,qsyn_pyzx,19,100,0,ok,
barenco_tof_10,qsyn_raw,19,100,0,ok,
barenco_tof_3,qsyn_pyzx,5,16,0,ok,
barenco_tof_3,qsyn_raw,5,16,0,ok,
barenco_tof_4,qsyn_pyzx,7,28,0,ok,
barenco_tof_4,qsyn_raw,7,28,0,ok,
barenco_tof_5,qsyn_pyzx,9,40,0,ok,
barenco_tof_5,qsyn_raw,9,40,0,ok,
csla_mux_3,qsyn_pyzx,15,51,0,ok,
csla_mux_3,qsyn_raw,15,53,0,ok,
csum_mux_9,qsyn_pyzx,30,75,0,ok,
csum_mux_9,qsyn_raw,30,75,0,ok,
gf2^10_mult,qsyn_pyzx,30,283,41,ok,
gf2^10_mult,qsyn_raw,30,319,13,ok,
gf2^16_mult,qsyn_pyzx,48,791,1134,ok,
gf2^16_mult,qsyn_raw,48,807,1075,ok,
gf2^4_mult,qsyn_pyzx,12,49,0,ok,
gf2^4_mult,qsyn_raw,12,49,0,ok,
gf2^5_mult,qsyn_pyzx,15,77,0,ok,
gf2^5_mult,qsyn_raw,15,75,0,ok,
gf2^6_mult,qsyn_pyzx,18,113,0,ok,
gf2^6_mult,qsyn_raw,18,105,0,ok,
gf2^7_mult,qsyn_pyzx,21,143,2,ok,
gf2^7_mult,qsyn_raw,21,147,1,ok,
gf2^8_mult,qsyn_pyzx,24,203,3,ok,
gf2^8_mult,qsyn_raw,24,201,4,ok,
gf2^9_mult,qsyn_pyzx,27,261,9,ok,
gf2^9_mult,qsyn_raw,27,243,11,ok,
grover_5,qsyn_pyzx,9,166,0,ok,
grover_5,qsyn_raw,9,166,0,ok,
ham15-high,qsyn_pyzx,20,1015,0,ok,
ham15-high,qsyn_raw,20,1011,0,ok,
ham15-low,qsyn_pyzx,17,96,0,ok,
ham15-low,qsyn_raw,17,97,0,ok,
ham15-med,qsyn_pyzx,17,212,0,ok,
ham15-med,qsyn_raw,17,212,0,ok,
hwb10,qsyn_pyzx,16,15840,10,ok,
hwb10,qsyn_raw,16,15840,10,ok,
hwb11,qsyn_pyzx,15,44417,51,ok,
hwb11,qsyn_raw,15,44417,51,ok,
hwb6,qsyn_pyzx,7,72,0,ok,
hwb6,qsyn_raw,7,72,0,ok,
hwb8,qsyn_pyzx,12,3510,1,ok,
hwb8,qsyn_raw,12,3505,1,ok,
mod5_4,qsyn_pyzx,5,7,0,ok,
mod5_4,qsyn_raw,5,7,0,ok,
mod_adder_1024,qsyn_pyzx,28,1010,0,ok,
mod_adder_1024,qsyn_raw,28,1009,1,ok,
mod_mult_55,qsyn_pyzx,9,35,0,ok,
mod_mult_55,qsyn_raw,9,32,0,ok,
mod_red_21,qsyn_pyzx,11,73,0,ok,
mod_red_21,qsyn_raw,11,73,0,ok,
nth_prime6,qsyn_pyzx,9,279,0,ok,
qcla_adder_10,qsyn_pyzx,36,156,0,ok,
qcla_adder_10,qsyn_raw,36,160,0,ok,
qcla_com_7,qsyn_pyzx,24,95,0,ok,
qcla_com_7,qsyn_raw,24,95,0,ok,
qcla_mod_7,qsyn_pyzx,26,233,0,ok,
qcla_mod_7,qsyn_raw,26,236,0,ok,
qft_4,qsyn_pyzx,5,67,0,ok,
qft_4,qsyn_raw,5,NA,0,ERR,rc=0
rc_adder_6,qsyn_pyzx,14,47,0,ok,
rc_adder_6,qsyn_raw,14,47,0,ok,
tof_10,qsyn_pyzx,19,71,0,ok,
tof_10,qsyn_raw,19,71,0,ok,
tof_3,qsyn_pyzx,5,15,0,ok,
tof_3,qsyn_raw,5,15,0,ok,
tof_4,qsyn_pyzx,7,23,0,ok,
tof_4,qsyn_raw,7,23,0,ok,
tof_5,qsyn_pyzx,9,31,0,ok,
tof_5,qsyn_raw,9,31,0,ok,
vbe_adder_3,qsyn_pyzx,10,24,0,ok,
vbe_adder_3,qsyn_raw,10,24,0,ok,
