circuit,run,n,T,seconds,status,note
DEFAULT,qsyn_pyzx,640,NA,1913,TLE,
DEFAULT,qsyn_raw,640,NA,1916,TLE,
DEFAULT,vand_pyzx,640,NA,175,MLE,
DEFAULT,vand_raw,640,NA,119,MLE,
adder_8,qsyn_pyzx,24,173,0,ok,
adder_8,qsyn_raw,24,170,0,ok,
adder_8,vand_pyzx,24,NA,0,NA,Operator not implemented: Tof
adder_8,vand_raw,24,119,0,ok,
barenco_tof_10,qsyn_pyzx,19,100,0,ok,
barenco_tof_10,qsyn_raw,19,100,0,ok,
barenco_tof_10,vand_pyzx,19,NA,0,NA,Operator not implemented: Z
barenco_tof_10,vand_raw,19,83,0,ok,
barenco_tof_3,qsyn_pyzx,5,16,0,ok,
barenco_tof_3,qsyn_raw,5,16,0,ok,
barenco_tof_3,vand_pyzx,5,NA,0,NA,Operator not implemented: Z
barenco_tof_3,vand_raw,5,13,0,ok,
barenco_tof_4,qsyn_pyzx,7,28,0,ok,
barenco_tof_4,qsyn_raw,7,28,0,ok,
barenco_tof_4,vand_pyzx,7,NA,0,NA,Operator not implemented: Z
barenco_tof_4,vand_raw,7,23,0,ok,
barenco_tof_5,qsyn_pyzx,9,40,0,ok,
barenco_tof_5,qsyn_raw,9,40,0,ok,
barenco_tof_5,vand_pyzx,9,NA,0,NA,Operator not implemented: Z
barenco_tof_5,vand_raw,9,33,0,ok,
csla_mux_3,qsyn_pyzx,15,51,0,ok,
csla_mux_3,qsyn_raw,15,53,0,ok,
csla_mux_3,vand_pyzx,15,NA,0,NA,Operator not implemented: Z
csla_mux_3,vand_raw,15,39,0,ok,
csum_mux_9,qsyn_pyzx,30,75,0,ok,
csum_mux_9,qsyn_raw,30,75,0,ok,
csum_mux_9,vand_pyzx,30,NA,0,NA,Operator not implemented: Z
csum_mux_9,vand_raw,30,71,0,ok,
gf2^10_mult,qsyn_pyzx,30,293,486,ok,
gf2^10_mult,qsyn_raw,30,315,205,ok,
gf2^10_mult,vand_pyzx,30,NA,0,NA,Operator not implemented: Z
gf2^10_mult,vand_raw,30,315,5,ok,
gf2^16_mult,qsyn_pyzx,48,NA,1910,TLE,
gf2^16_mult,qsyn_raw,48,NA,1909,TLE,
gf2^16_mult,vand_pyzx,48,NA,0,NA,Operator not implemented: Z
gf2^16_mult,vand_raw,48,797,172,ok,
gf2^4_mult,qsyn_pyzx,12,49,1,ok,
gf2^4_mult,qsyn_raw,12,49,1,ok,
gf2^4_mult,vand_pyzx,12,NA,0,NA,Operator not implemented: Z
gf2^4_mult,vand_raw,12,49,0,ok,
gf2^5_mult,qsyn_pyzx,15,77,1,ok,
gf2^5_mult,qsyn_raw,15,75,1,ok,
gf2^5_mult,vand_pyzx,15,NA,0,NA,Operator not implemented: Z
gf2^5_mult,vand_raw,15,81,0,ok,
gf2^6_mult,qsyn_pyzx,18,113,5,ok,
gf2^6_mult,qsyn_raw,18,115,5,ok,
gf2^6_mult,vand_pyzx,18,NA,0,NA,Operator not implemented: Z
gf2^6_mult,vand_raw,18,113,0,ok,
gf2^7_mult,qsyn_pyzx,21,149,17,ok,
gf2^7_mult,qsyn_raw,21,147,21,ok,
gf2^7_mult,vand_pyzx,21,NA,0,NA,Operator not implemented: Z
gf2^7_mult,vand_raw,21,155,1,ok,
gf2^8_mult,qsyn_pyzx,24,203,69,ok,
gf2^8_mult,qsyn_raw,24,201,41,ok,
gf2^8_mult,vand_pyzx,24,NA,0,NA,Operator not implemented: Z
gf2^8_mult,vand_raw,24,205,1,ok,
gf2^9_mult,qsyn_pyzx,27,259,194,ok,
gf2^9_mult,qsyn_raw,27,255,197,ok,
gf2^9_mult,vand_pyzx,27,NA,0,NA,Operator not implemented: Z
gf2^9_mult,vand_raw,27,257,2,ok,
grover_5,qsyn_pyzx,9,166,0,ok,
grover_5,qsyn_raw,9,166,0,ok,
grover_5,vand_pyzx,9,NA,0,NA,Operator not implemented: Tof
grover_5,vand_raw,9,143,2,ok,
ham15-high,qsyn_pyzx,20,1015,0,ok,
ham15-high,qsyn_raw,20,1011,0,ok,
ham15-high,vand_pyzx,20,NA,0,NA,Operator not implemented: Z
ham15-high,vand_raw,20,NA,1951,TLE,
ham15-low,qsyn_pyzx,17,96,0,ok,
ham15-low,qsyn_raw,17,97,0,ok,
ham15-low,vand_pyzx,17,NA,0,NA,Operator not implemented: Tof
